scenario,comparison,treatment,control,metric,n,paired_difference_mean,paired_difference_se,paired_difference_ci95,bootstrap_ci95_low,bootstrap_ci95_high,ci_excludes_zero
loca_reward,recency_minus_empirical,ema_dyna,empirical_dyna,mean_normalized_dynamic_regret,20,-0.02603982992395055,0.0036891626782597376,0.007230758849389085,-0.03324877002887011,-0.019139499743955603,True
loca_reward,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_500,20,0.013445715946836023,0.017450541529633202,0.034203061398081075,-0.020559612436225914,0.044879860991477165,False
loca_reward,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_2000,20,-0.01425386600116881,0.0072224491597139345,0.014156000353039312,-0.02847595433842466,-0.0014224111972109116,True
loca_reward,recency_minus_empirical,ema_dyna,empirical_dyna,tail_dynamic_regret,20,-0.026143469102722833,0.003018478655322782,0.005916218164432652,-0.03174408851540514,-0.020210079362845614,True
loca_reward,recency_minus_empirical,ema_dyna,empirical_dyna,tail_model_error,20,0.00033307031532748345,0.004016590209033149,0.007872516809704971,-0.007522665299265886,0.0076194003091771155,False
loca_reward,priority_minus_uniform_ema,prioritized_ema,ema_dyna,mean_normalized_dynamic_regret,20,0.08698713265903744,0.08689418379147727,0.17031260023129546,-0.07507906940786746,0.2509815080159353,False
loca_reward,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_500,20,-0.04379686119029945,0.034651182124593866,0.06791631696420397,-0.10813170686575928,0.022907517367931646,False
loca_reward,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_2000,20,0.03725083358496945,0.03344100962855638,0.06554437887197051,-0.02603157746316789,0.10050667754500667,False
loca_reward,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_dynamic_regret,20,0.04438663814801832,0.03643931325809797,0.07142105398587202,-0.022810289806760333,0.11275554507689477,False
loca_reward,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_model_error,20,0.029773491919988754,0.018791941678732254,0.036832205690315215,-0.005932471877182969,0.06624817709433704,False
loca_reward,priority_minus_uniform_factored,cafd_lite,cafd_uniform,mean_normalized_dynamic_regret,20,-0.011123414450571053,0.0017529651063733314,0.003435811608491729,-0.014522413245163571,-0.007658367613778533,True
loca_reward,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_500,20,-0.0505120230646391,0.014021991073333327,0.027483102503733318,-0.07651973481801848,-0.022245203817853373,True
loca_reward,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_2000,20,-0.00508660413099906,0.004995245057784334,0.009790680313257295,-0.014656366288361452,0.004522783778091299,False
loca_reward,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_dynamic_regret,20,-0.0024512759215805082,0.0011200044553401885,0.0021952087324667692,-0.00456975558580099,-0.0002764610140075759,True
loca_reward,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_model_error,20,-5.844885880443043e-05,8.75963122682004e-06,1.7168877204567277e-05,-7.521763790707187e-05,-4.186590726927181e-05,True
loca_reward,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,mean_normalized_dynamic_regret,20,0.00015213472477738771,0.0018302321196837763,0.0035872549545802016,-0.0032036238451772464,0.0036800702084134472,False
loca_reward,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_500,20,0.03960021926314901,0.018552225924902906,0.0363623628128097,0.0037712105214741717,0.07583155283444092,True
loca_reward,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_2000,20,0.008548729493870902,0.006336638310030823,0.012419811087660413,-0.0025112736938638384,0.02166074318337016,False
loca_reward,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_dynamic_regret,20,-0.0015008511590189045,0.001382668043950023,0.002710029366142045,-0.004147924854701399,0.0010830718172751776,False
loca_reward,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_model_error,20,-0.00025306477353333515,1.4140843767491467e-05,2.7716053784283275e-05,-0.0002799514297827344,-0.0002257586123352915,True
obstacle_abrupt,recency_minus_empirical,ema_dyna,empirical_dyna,mean_normalized_dynamic_regret,20,-0.1400346525777763,0.010199699248383083,0.01999141052683084,-0.1581708247008386,-0.11902101988589717,True
obstacle_abrupt,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_500,20,-0.013862340640558229,0.018311239515833348,0.03589002945103336,-0.04899771263050566,0.02161079423359973,False
obstacle_abrupt,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_2000,20,-0.049182925985945064,0.011036007972308092,0.02163057562572386,-0.07033292345567865,-0.028339994929842682,True
obstacle_abrupt,recency_minus_empirical,ema_dyna,empirical_dyna,tail_dynamic_regret,20,-0.15252702406135374,0.01313826516192649,0.02575099971737592,-0.1755551827755689,-0.12550046175954138,True
obstacle_abrupt,recency_minus_empirical,ema_dyna,empirical_dyna,tail_model_error,20,-0.007994330220552926,0.005620970004968743,0.011017101209738736,-0.018495922873266044,0.00303644240809968,False
obstacle_abrupt,priority_minus_uniform_ema,prioritized_ema,ema_dyna,mean_normalized_dynamic_regret,20,0.10323881242306468,0.099569065916466,0.19515536919627335,-0.08109175484785902,0.2889567283195622,False
obstacle_abrupt,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_500,20,0.03153491978734942,0.03337619734846779,0.06541734680299688,-0.031137144993829118,0.09594498438948032,False
obstacle_abrupt,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_2000,20,0.07911157231454967,0.0384966142255489,0.07545336388207584,0.006988857306658249,0.15262048936529837,True
obstacle_abrupt,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_dynamic_regret,20,0.05903070504575471,0.05057454715895562,0.099126112431553,-0.035082717229542856,0.1554358181519148,False
obstacle_abrupt,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_model_error,20,0.05774747786898551,0.0378290582480781,0.07414495416623307,-0.012390016706616089,0.12969906677060553,False
obstacle_abrupt,priority_minus_uniform_factored,cafd_lite,cafd_uniform,mean_normalized_dynamic_regret,20,-0.009736095705538062,0.002717896691636281,0.00532707751560711,-0.014958936245477922,-0.004486008621484504,True
obstacle_abrupt,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_500,20,-0.015734216328363273,0.017637138826336777,0.034568792099620084,-0.0496172169321192,0.017760219934419647,False
obstacle_abrupt,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_2000,20,0.017577727861370577,0.00611859703758168,0.011992450193660093,0.006397543988228356,0.030351233903207278,True
obstacle_abrupt,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_dynamic_regret,20,-0.01031979544769476,0.004029011838586038,0.007896863203628635,-0.01824221578227735,-0.0031321791139185444,True
obstacle_abrupt,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_model_error,20,-9.635078176453013e-05,2.48183120265587e-05,4.864389157205505e-05,-0.000143404033388735,-4.9505786416949595e-05,True
obstacle_abrupt,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,mean_normalized_dynamic_regret,20,0.027117585914537657,0.0031503083626904516,0.006174604390873285,0.021047845305861543,0.0329615208020795,True
obstacle_abrupt,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_500,20,0.007373831699801258,0.019088755164236543,0.03741396012190362,-0.02823463125291262,0.04336840817338636,False
obstacle_abrupt,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_2000,20,0.02115591126178926,0.007469349272739117,0.014639924574568669,0.007101989137386162,0.03528120207464184,True
obstacle_abrupt,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_dynamic_regret,20,0.013436929819112629,0.0031789649689070907,0.006230771339057898,0.007613800948177807,0.0196507157333725,True
obstacle_abrupt,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_model_error,20,0.00028899926481834283,1.2759668651341502e-05,2.5008950556629345e-05,0.0002659181641941965,0.0003147188817962699,True
wind_drift,recency_minus_empirical,ema_dyna,empirical_dyna,mean_normalized_dynamic_regret,20,0.02220638111293349,0.009636684773145292,0.01888790215536477,0.003681893681960102,0.0406199787300855,True
wind_drift,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_500,20,-0.001261332163657526,0.013118020258462797,0.025711319706587084,-0.027597313252220184,0.022418919750934515,False
wind_drift,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_2000,20,-0.0032252138438339066,0.0057980145948122565,0.011364108605832023,-0.014776038431422066,0.007465792281337703,False
wind_drift,recency_minus_empirical,ema_dyna,empirical_dyna,tail_dynamic_regret,20,0.020969342656378613,0.015066595745919231,0.029530527662001694,-0.0001355210663542582,0.05400887014953107,False
wind_drift,recency_minus_empirical,ema_dyna,empirical_dyna,tail_model_error,20,0.010323191642988592,0.010971542612984449,0.02150422352144952,-0.006597528265051754,0.03398602057992777,False
wind_drift,priority_minus_uniform_ema,prioritized_ema,ema_dyna,mean_normalized_dynamic_regret,20,-0.053877151910658824,0.12849392986931674,0.2518481025438608,-0.29106665272105126,0.1937093765446181,False
wind_drift,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_500,20,-0.022574707520632748,0.08593456238848285,0.16843174228142638,-0.18065069554630134,0.14200364935858453,False
wind_drift,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_2000,20,-0.013162274577970017,0.053903353213591215,0.10565057229863878,-0.11289181262763329,0.09068724953517056,False
wind_drift,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_dynamic_regret,20,-0.022550590719386664,0.05621483852143151,0.11018108350200576,-0.12691595650656806,0.08600413691819098,False
wind_drift,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_model_error,20,-0.018176243195033602,0.046170288648140295,0.09049376575035498,-0.10606169337715805,0.06881994819349849,False
wind_drift,priority_minus_uniform_factored,cafd_lite,cafd_uniform,mean_normalized_dynamic_regret,20,-0.030363014140585537,0.008227111637659235,0.0161251388098121,-0.04565223774623756,-0.014075248300600628,True
wind_drift,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_500,20,-0.007378544814798311,0.003948944330224725,0.0077399308872404616,-0.015425600116498524,-0.00027058412688721513,True
wind_drift,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_2000,20,-0.021724380481220846,0.007622473734505842,0.01494004851963145,-0.035949718536150664,-0.007268695356431241,True
wind_drift,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_dynamic_regret,20,-0.004964410658998407,0.005758342272956545,0.011286350854994827,-0.016178196080774088,0.005904569758616523,False
wind_drift,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_model_error,20,-0.002472469217246037,0.001052935692348705,0.0020637539570034615,-0.0045232630262368465,-0.0005438116576547025,True
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,mean_normalized_dynamic_regret,20,-0.0044426901994727985,0.005952196012372839,0.011666304184250765,-0.015663383402760918,0.006873916118593994,False
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_500,20,0.0012824033574309348,0.0051587908691706754,0.010111230103574525,-0.008540901021598761,0.011131307095387578,False
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_2000,20,0.007683980456542212,0.007950206762854725,0.015582405255195261,-0.00774100715070971,0.022560438860706408,False
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_dynamic_regret,20,-0.007680697985033583,0.005424484471673517,0.010631989564480094,-0.01803806547935543,0.0026784954914415592,False
wind_drift,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_model_error,20,0.05372094836570259,0.0022068501172699505,0.004325426229849103,0.04964225779318452,0.05807851310234359,True
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,mean_normalized_dynamic_regret,20,-0.022260665253286165,0.01468091544028919,0.028774594262966812,-0.048409904053610925,0.008090684477620581,False
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_500,20,0.022300812579049558,0.013219828084337783,0.025910863045302053,-0.001634492439443328,0.04860544527257562,False
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,postchange_regret_2000,20,0.005605429126397681,0.011464301829155955,0.022470031585145673,-0.015365796395933301,0.028059733224549785,False
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,tail_dynamic_regret,20,-0.009645859481605833,0.014260166077449954,0.02794992551180191,-0.03532375706015315,0.01841684241704686,False
recurring_composition,recency_minus_empirical,ema_dyna,empirical_dyna,tail_model_error,20,-0.051413681882557793,0.008489174429809282,0.016638781882426193,-0.06884866648500489,-0.03588839925911534,True
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,mean_normalized_dynamic_regret,20,0.019938135601706836,0.02780167849809822,0.05449128985627251,-0.03444409590927919,0.07147917315836808,False
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_500,20,-0.013358133987975715,0.023644091984706385,0.046342420290024514,-0.060264910253208875,0.03111002328097304,False
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,postchange_regret_2000,20,-0.017917608792832895,0.027869403292776145,0.05462403045384124,-0.06999846777464709,0.03713305287922773,False
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_dynamic_regret,20,-0.02802634260585989,0.02766076168156614,0.054215092895869635,-0.08074456141408314,0.02575549404054735,False
recurring_composition,priority_minus_uniform_ema,prioritized_ema,ema_dyna,tail_model_error,20,0.014511898041787883,0.01589343187308074,0.031151126471238248,-0.014757292638848268,0.0454251923503276,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,mean_normalized_dynamic_regret,20,-0.006562369183004707,0.008783060103229727,0.017214797802330265,-0.022674741013646145,0.010844582130861048,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_500,20,-0.0078106205801188764,0.013767857052737534,0.026984999823365566,-0.03415239932568687,0.017844052773812534,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,postchange_regret_2000,20,-0.00010857553817637395,0.009963752196454019,0.019528954305049875,-0.019459618018219403,0.01900273619844475,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_dynamic_regret,20,-0.0018392023762450374,0.008882196152524077,0.01740910445894719,-0.018473144174266865,0.015880464097382647,False
recurring_composition,priority_minus_uniform_factored,cafd_lite,cafd_uniform,tail_model_error,20,0.0002989930019326712,0.0008426371996469698,0.0016515689113080607,-0.0012139558927641183,0.0019954095962567545,False
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,mean_normalized_dynamic_regret,20,0.014744739834206802,0.005258456517938214,0.0103065747751589,0.004287612032909175,0.024399081402762937,True
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_500,20,0.08302511828248381,0.014681078846569077,0.02877491453927539,0.05540817134758502,0.1114011325278705,True
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,postchange_regret_2000,20,0.021514401382873517,0.007752509164716208,0.015194917962843767,0.00692811148751541,0.03615944322547015,True
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_dynamic_regret,20,0.009171544261709123,0.007515576859946683,0.014730530645495498,-0.005174779081649006,0.023361044014511077,False
recurring_composition,surprise_minus_fixed_cafd,cafd_surprise,cafd_lite,tail_model_error,20,0.03154975592511909,0.0019257000940562448,0.0037743721843502397,0.027824573545282342,0.03509583695124853,True
